route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization,green_zone_visit_count,fuel_green_zone_pre16_violation_count
1,ev_1250,ev,1,"19,39",0->37->86->0,normal->normal,78.0,09:18,317.7143748463569,13:18,486.06046,400.0,71.80279,14.25767,0.0,0.0,0.0,0.0,0.0,43.782189,33.414867,43.782189,107.619328,0.0,0,0,0,0.0,1097.844,4.66798,0.878275,0.549174,0,0
2,ev_1250,ev,2,"49,48,177",0->97->95->75->0,normal->normal->mandatory_split,194.0,11:14,650.9322301158409,18:51,552.814479,400.0,127.497645,25.316834,0.0,0.0,0.0,0.0,0.0,77.742467,59.69746,77.742467,190.865871,0.0,0,0,0,0.0,1142.0705,3.71071,0.913656,0.436554,0,0
3,ev_1250,ev,3,51,0->6->0,mandatory_split,146.0,10:26,334.8096920433454,13:35,463.448371,400.0,52.936855,10.511516,0.0,0.0,0.0,0.0,0.0,32.27857,24.851609,32.27857,81.276268,0.0,0,0,0,0.0,1217.0841,3.29954,0.973667,0.388181,1,0
4,ev_1250,ev,4,53,0->6->0,mandatory_split,146.0,10:26,334.8096920433454,13:35,463.678754,400.0,53.12907,10.549684,0.0,0.0,0.0,0.0,0.0,32.395774,24.942115,32.395774,81.276268,0.0,0,0,0,0.0,1247.5591,4.21917,0.998047,0.496373,1,0
5,ev_1250,ev,5,56,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,497.118338,400.0,81.028705,16.089633,0.0,0.0,0.0,0.0,0.0,49.407747,37.119897,49.407747,124.405457,0.0,0,0,0,0.0,1248.8567,3.388267,0.999085,0.39862,1,0
6,ev_1250,ev,6,57,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,497.093953,400.0,81.00836,16.085593,0.0,0.0,0.0,0.0,0.0,49.395341,37.110631,49.395341,124.405457,0.0,0,0,0,0.0,1246.7515,2.85451,0.997401,0.335825,1,0
7,ev_1250,ev,7,58,0->7->0,mandatory_split,300.0,13:00,474.6420105958823,15:55,497.105083,400.0,81.017646,16.087437,0.0,0.0,0.0,0.0,0.0,49.401004,37.114861,49.401004,124.405457,0.0,0,0,0,0.0,1247.7124,3.20012,0.99817,0.376485,1,0
8,ev_1250,ev,8,70,0->28->0,mandatory_split,630.0,18:30,804.615348815918,21:25,495.67368,400.0,79.823384,15.850296,0.0,0.0,0.0,0.0,0.0,48.672795,36.592266,48.672795,122.603813,22.687148,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995,0,0
9,ev_1250,ev,9,76,0->39->0,mandatory_split,300.0,13:00,645.9850791404024,18:46,551.849174,400.0,126.692262,25.156912,0.0,0.0,0.0,0.0,0.0,77.25138,58.630461,77.25138,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679,0,0
10,ev_1250,ev,10,80,0->42->0,mandatory_split,103.0,09:43,353.6185399275273,13:54,497.879508,400.0,81.663772,16.215736,0.0,0.0,0.0,0.0,0.0,49.794983,38.043315,49.794983,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052,0,0
